Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Investigar lugares mas atractivos,SCRUM-14,10045,Task,In Progress,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Lowest,,florencia cobos,712020:5e5876e0-69ec-4269-9ed2-5c77f38d407b,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:29 PM,15/Apr/25 12:55 PM,13/Apr/25 7:39 PM,,,0,"*CATEGORIAS DEFINIDAS:*

Sitios patrimoniales oficiales (monumentos, museos)  
Bodegas históricas  
Malls y Centros comerciales
Lugares de esparcimiento (Parques, plazas, etc)
Gastronomía
Actividades recreativas (trekking,senderismo, rafting, paintball, parques aéreos, etc)

*Cada una tendra la siguiente informacion:*

* Categoría
* Dirección
* Teléfono
* Correo Electrónico
* Página Web
* Horarios de Visita
* Entrada
* Recomendación

*Link del documendo:*

[https://docs.google.com/document/d/1aKlhoRRPOChUYhlSGIRUdcTOnwbepFLX4iKObfu5OrU/edit?tab=t.0#heading=h.d0p4yphzu2fg|https://docs.google.com/document/d/1aKlhoRRPOChUYhlSGIRUdcTOnwbepFLX4iKObfu5OrU/edit?tab=t.0#heading=h.d0p4yphzu2fg|smart-link] ",,Emiliano Las Heras,florencia cobos,Sebasti�n Cejas,604a3dea58aa8d00722ac5f8,712020:5e5876e0-69ec-4269-9ed2-5c77f38d407b,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,SCRUM-28,,,,,,,,,,,,,,,,,,,,,0|hzzzzl:,,,Sprint 1,,,,,,,,,,2025-04-13 22:40:28.452,,"13/Apr/25 7:40 PM;604a3dea58aa8d00722ac5f8;Esto puede ser una *user story*, ojo. Hagamos un branstorm despues para ver que involucraria a nivel practico esta tarea de investigacion. y asi darle un  detalle mas claro y realista.","15/Apr/25 12:55 PM;712020:5e5876e0-69ec-4269-9ed2-5c77f38d407b;[~accountid:604a3dea58aa8d00722ac5f8] si emi, ahi hablamos x whatsapp e hicimos un filtro de que va a incluir  y la estructura que va a tener cada lugar (arriba esta mejor detallado). Tambien adjunte un documento para q vean los lugares y demas.",10054,📜 Creacion de artefactos y documentacion,In Progress,14/Apr/25 6:58 PM
Hacer el dragrama de gannt,SCRUM-13,10044,Task,Done,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Highest,Done,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Miguel Alvarez,712020:ed10e9de-d6f2-4eb3-95de-41f09a4c85b1,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:20 PM,15/Apr/25 7:03 PM,13/Apr/25 7:40 PM,15/Apr/25 6:56 PM,,0,,,Emiliano Las Heras,Sebasti�n Cejas,,604a3dea58aa8d00722ac5f8,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,13/Apr/25 7:43 PM;ug:07ea5b0b-4b98-4ee4-9167-4bd6b771a5eb;image-20250413-224309.png;https://turisteando-en-mendoza.atlassian.net/rest/api/3/attachment/content/10000,,,,,,,,,,,,,,,,,0|i0003z:,,,Sprint 1,,,,,,,,,,2025-04-13 22:43:31.627,10000_*:*_1_*:*_596157841_*|*_10002_*:*_1_*:*_0,"13/Apr/25 7:43 PM;604a3dea58aa8d00722ac5f8;En este caso considero que se pueden hacer multiples enfoques. una es utilizar una herramienta de Gantts como Microsoft Project. La otra es que [~accountid:712020:ed10e9de-d6f2-4eb3-95de-41f09a4c85b1] esté particularmente pendiente y enfocado en revisar los ciclos de inicio y fin de cada tarea y que tengan sentido en la vista de “Timeline” de Jira, que arma un Gantt superficial de manera automática en relacion a los tickets del tablero.

Adjunto un ejemplo. los que tienen un simbolo de warning son porque estan mal definidos los plazos temporales y deben ser corregidos 

!image-20250413-224309.png|width=100%,alt=""image-20250413-224309.png""!",,10054,📜 Creacion de artefactos y documentacion,Done,15/Apr/25 6:56 PM
Hacer diagrama de casos de uso,SCRUM-12,10043,Task,Done,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,Done,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:19 PM,14/Apr/25 6:56 PM,13/Apr/25 7:44 PM,14/Apr/25 6:56 PM,,0,"!image-20250414-215634.png|width=1316,height=549,alt=""image-20250414-215634.png""!",,Emiliano Las Heras,Sebasti�n Cejas,,604a3dea58aa8d00722ac5f8,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,14/Apr/25 6:56 PM;ed8dd922-c8fa-4fe5-99c8-385a5de32e3e;image-20250414-215634.png;https://turisteando-en-mendoza.atlassian.net/rest/api/3/attachment/content/10036,,,,,,,,,,,,,,,,,0|hzzzzl:y,,,Sprint 1,,,,,,,,,,2025-04-13 22:39:07.259,10000_*:*_1_*:*_500496296_*|*_10001_*:*_1_*:*_0,"13/Apr/25 7:39 PM;604a3dea58aa8d00722ac5f8;Se entiende que es un generico de CdU. Agregar desc para la prox juntada/ meetup para que entendamos bien el ALCANCE de la misma. Calculo que son todos los diagramas relevantes al sprint 1 al menos.



{panel:bgColor=#fffae6}
to do: agregar descripcion a la tarea en siguiente meetup
{panel}",14/Apr/25 4:46 PM;712020:4fc00f68-7eec-4a29-a801-219aa96aa54e;Bastante a la que te criaste el diagrama pero sirve jajaja,10054,📜 Creacion de artefactos y documentacion,Done,14/Apr/25 6:56 PM
Hacer esquema de la app,SCRUM-11,10042,Task,In Progress,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Highest,,Magui Cobos,70121:921614ba-3e24-42c6-b37c-35b1389f9314,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:19 PM,14/Apr/25 7:10 PM,13/Apr/25 7:44 PM,,,0,,,Emiliano Las Heras,Sebasti�n Cejas,,604a3dea58aa8d00722ac5f8,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzl:v,,,Sprint 1,,,,,,,,,,2025-04-13 22:38:13.517,,"13/Apr/25 7:38 PM;604a3dea58aa8d00722ac5f8;{panel:bgColor=#fffae6}
to do: agregar descripcion a la tarea en siguiente meetup
{panel}",,10054,📜 Creacion de artefactos y documentacion,In Progress,13/Apr/25 7:19 PM
Diseñar la vista de inicio,SCRUM-10,10041,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Highest,,Miguel Alvarez,712020:ed10e9de-d6f2-4eb3-95de-41f09a4c85b1,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:18 PM,13/Apr/25 8:27 PM,13/Apr/25 8:26 PM,,,0,,,Emiliano Las Heras,Sebasti�n Cejas,,604a3dea58aa8d00722ac5f8,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001j:,,,,,,,,,,,,,2025-04-13 23:12:12.147,,13/Apr/25 8:12 PM;604a3dea58aa8d00722ac5f8;Duplicado en [https://turisteando-en-mendoza.atlassian.net/browse/SCRUM-20|https://turisteando-en-mendoza.atlassian.net/browse/SCRUM-20|smart-link] (tarea hija),13/Apr/25 8:27 PM;604a3dea58aa8d00722ac5f8;Queda pendiente reasignar correctamente. para que no hayan conflictos de quien agarra qué [~accountid:712020:ed10e9de-d6f2-4eb3-95de-41f09a4c85b1] . Basicamente hay otra epica donde se desglosan las tareas de “Diseño”. [https://turisteando-en-mendoza.atlassian.net/browse/SCRUM-30|https://turisteando-en-mendoza.atlassian.net/browse/SCRUM-30|smart-link] para discutir en el prox. meetup.,10052,⚠️ Interacciones con el usuario,To Do,08/Apr/25 9:18 PM
Sistema de ubicacion en tiempo real,SCRUM-8,10039,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,High,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:06 PM,15/Apr/25 6:53 PM,13/Apr/25 8:22 PM,,,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001m:,,,Sprint 2,,,,,,,,,,,,,,10048,🗺️ Integrar los mapas a la app,To Do,08/Apr/25 9:06 PM
Autentificacion (Auth imp),SCRUM-7,10038,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Highest,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:03 PM,15/Apr/25 6:52 PM,13/Apr/25 8:02 PM,,,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001l:,,,Sprint 2,,,,,,,,,,,,,,10053,👤 Integracion de sistema de usuarios,To Do,08/Apr/25 9:03 PM
Sistema de notificaciones ¿Que es esto?,SCRUM-6,10037,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 9:01 PM,15/Apr/25 6:54 PM,13/Apr/25 8:12 PM,,,0,,,Emiliano Las Heras,Sebasti�n Cejas,,604a3dea58aa8d00722ac5f8,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001l:v,,,Sprint 4,,,,,,,,,,2025-04-13 23:13:19.029,,"13/Apr/25 8:13 PM;604a3dea58aa8d00722ac5f8;redefinir en la prox meetup. Probablemente haga referencia al *Sistema de user feedback*. que incluye multiples facetas más (inbound notifications, alerts, reports, etc…)",,10052,⚠️ Interacciones con el usuario,To Do,08/Apr/25 9:01 PM
Sistema de aportes a la app,SCRUM-5,10036,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 8:58 PM,15/Apr/25 6:54 PM,,,,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001l:r,,,Sprint 3,,,,,,,,,,,,,,10050,ℹ️ Integrar solicitudes del usuario,To Do,08/Apr/25 8:58 PM
Sistema de comentarios,SCRUM-4,10035,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 8:58 PM,15/Apr/25 6:54 PM,,,,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001l:i,,,Sprint 3,,,,,,,,,,,,,,10050,ℹ️ Integrar solicitudes del usuario,To Do,08/Apr/25 8:58 PM
Sistema de busqueda y filtrado,SCRUM-3,10034,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,High,,,,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 8:56 PM,15/Apr/25 6:53 PM,,,,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0001k:,,,Sprint 2,,,,,,,,,,,,,,10049,🔍 Integrar busqueda y filtrado,To Do,08/Apr/25 8:56 PM
Coneccion a api de mapas,SCRUM-2,10033,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Highest,,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,08/Apr/25 8:54 PM,11/Apr/25 9:01 PM,,,,0,,,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzzzz:,,,Sprint 1,,,,,,,,,,,,,,10048,🗺️ Integrar los mapas a la app,To Do,08/Apr/25 8:54 PM
